base_coin,n_ticks,std_spread_long,std_spread_short,mean_spread_long,mean_spread_short,days_with_ticks,std_spread,std_status,window_start,window_end,n_files,n_tables
0G,3199226,0.07894494409319315,0.07675159793941841,-0.09652027299413003,-0.09113273679577874,25,0.07894494409319315,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
1INCH,3433435,0.05987711852943049,0.05609875395805523,-0.08425822787490374,0.006129306163923954,25,0.05987711852943049,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
2Z,4561750,0.2637788344185888,0.2681097486049677,0.013711526715042844,-0.11739058888892395,25,0.2681097486049677,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
A,2890358,0.06764290527055755,0.08287711825755262,-0.18022547191849708,0.03959278337684614,25,0.08287711825755262,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
AAOI,11694657,0.056662738622758405,0.05588575812985135,-0.09616730642115093,-0.017313214135138248,25,0.056662738622758405,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
AAPL,3845312,0.019171964121850637,0.01967278725481567,-0.010700278945345395,-0.003650982078943684,25,0.01967278725481567,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
AAVE,17248102,0.02764964466692625,0.0296001882262082,-0.03254038529977798,0.012962379540425313,25,0.0296001882262082,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
ACH,2618955,0.07404554239701276,0.0819674138820515,-0.0038380045624050617,-0.15435933348918898,25,0.0819674138820515,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
ACT,8245337,0.11220283128236827,0.09238535119697598,-0.0342563504208115,-0.0834137823945638,25,0.11220283128236827,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
ACU,8272684,0.1355399137837739,0.1335890346830761,-0.12175159652055699,-0.04370818072082122,25,0.1355399137837739,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
ADA,25125591,0.039623866909547785,0.04432176559120111,-0.042544297255535324,-0.05833765035908695,25,0.04432176559120111,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
ADBE,2214302,0.08788711354794221,0.08328654237679807,-0.12123426476635499,-0.12143781823391132,25,0.08788711354794221,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
AERO,6701708,0.045294722253580603,0.04398664340352809,-0.05698839020362346,-0.01469669980071781,25,0.045294722253580603,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
AEVO,2675567,0.0729364108144079,0.08024480006477556,-0.06875689297009957,-0.06387205346221411,25,0.08024480006477556,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
AGLD,2252808,0.08500760635099634,0.08300110943685605,-0.08428893604744452,-0.09964450346414815,25,0.08500760635099634,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
AIXBT,2790440,0.06515892340079046,0.06182392938898489,-0.11897237645077768,-0.04335000126297521,25,0.06515892340079046,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
ALAB,3970535,0.11156696145098273,0.10845242408873217,-0.147033545734137,-0.19245954655291764,25,0.11156696145098273,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
ALGO,6594015,0.04474560766911877,0.04089562746045189,-0.04791670290328676,0.009240493894514618,25,0.04474560766911877,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
ALLO,9771599,0.043678708771358335,0.04373290471904882,-0.060440552985461145,0.008344227633838453,25,0.04373290471904882,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
AMAT,6192976,0.07863724808527461,0.061107701285199136,-0.18457417107395724,-0.018961050608841973,25,0.07863724808527461,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
AMZN,4129944,0.021999319449800644,0.022809884404115004,-0.026906623062546448,0.008365209842936294,25,0.022809884404115004,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
ANIME,2750023,0.0572180639223511,0.05559306461122563,0.021972648358106906,-0.12326012258688786,25,0.0572180639223511,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
APE,5225808,0.036829917264675854,0.04000379831075922,0.011050561357387642,-0.06911832664533078,25,0.04000379831075922,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
API3,2412323,0.06909800830202811,0.0674793147987071,0.00810375867288795,-0.1533574018164361,25,0.06909800830202811,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
APR,13854871,0.16248308326240657,0.15544762279630164,-0.0399292428165474,-0.07306943197347962,25,0.16248308326240657,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
APT,11602470,0.031190425357073618,0.03156252404143654,-0.009685432237247101,-0.02657850351341257,25,0.03156252404143654,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
AR,3350079,0.05640815159332045,0.05542654368991604,-0.04556532799667446,-0.08278154836772195,25,0.05640815159332045,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
ARB,10989935,0.028657316877120115,0.028323424368376312,-0.017852301741827715,-0.012919218800321576,25,0.028657316877120115,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
ARKM,4505762,0.052927643739974474,0.0427172502254689,0.01834262935631621,-0.13102901276819343,25,0.052927643739974474,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
ARM,7191379,0.04592003772925389,0.046157677179833836,-0.0927022789628898,-0.07127546796037114,25,0.046157677179833836,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
ARX,3101836,0.10053907391486383,0.1053615824277902,-0.09826456218030122,-0.12356915051180481,25,0.1053615824277902,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
ASML,4270571,0.054443846552110625,0.0564667340903283,-0.13976067492339206,-0.07825551701961762,25,0.0564667340903283,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
ASTER,7043674,0.040249994274843916,0.04019131512062811,-0.04092947029130224,0.008775967048450089,25,0.040249994274843916,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
ASTS,4925812,0.07992060564293191,0.07124064237934301,-0.12351291187557162,-0.10870536030265539,25,0.07992060564293191,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
AT,1802520,0.12046278275419621,0.14579092672707272,-0.21176084582109186,-0.041293057459538464,25,0.14579092672707272,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
ATH,3581802,0.0611074120275987,0.06742649399584061,-0.14982430209611608,0.02248309748926199,25,0.06742649399584061,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
ATOM,5719875,0.05168137418695831,0.053664865426762694,-0.03961784223765402,-0.08732505160265483,25,0.053664865426762694,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
AUCTION,1859592,0.05533134444213708,0.0760851418909696,-0.002103082270026602,-0.15671033021623343,25,0.0760851418909696,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
AVAX,16222857,0.025987792094366455,0.02650919835159024,-0.01828618641275736,-0.011201580622688305,25,0.02650919835159024,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
AVGO,4025150,0.049621697604813796,0.04384553365284853,-0.060743772714341435,-0.04177558322770758,25,0.049621697604813796,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
AVNT,6848207,0.08073218820592615,0.07287407250494331,-0.06926310724754572,-0.013290520068597048,25,0.08073218820592615,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
AXS,5245005,0.04578322268000499,0.039528714316161125,-0.035048276651991984,-0.017534538382395472,25,0.04578322268000499,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
AXTI,8804263,0.065498265420137,0.07171052374483056,-0.07069749224974473,-0.07229109756860368,25,0.07171052374483056,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
AZTEC,1808915,0.16825285221277742,0.15589944367456313,-0.024276048023374238,-0.20616918602596304,25,0.16825285221277742,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
BABY,4652977,0.07301080289337253,0.07264508137132623,0.045031634140309675,-0.182336833781723,25,0.07301080289337253,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
BAND,1709944,0.07206645428406991,0.07640979491661236,-0.01216457428653033,-0.17304139968283874,25,0.07640979491661236,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
BARD,3494460,0.07883187338170465,0.07512193632668882,-0.0067882732456424,-0.14153699635241734,25,0.07883187338170465,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
BASED,6055274,0.12030907504751176,0.10236021785001281,0.024793577874123982,-0.11664130011222268,25,0.12030907504751176,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
BAT,3931806,0.04892940933859444,0.04521713221366991,0.016507058532478518,-0.1200110373001468,25,0.04892940933859444,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
BCH,13271195,0.0399247843574883,0.04479648949606331,-0.05247946455638033,-0.03175144032355545,25,0.04479648949606331,ok,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,6094,6094
